"Name","Icon","Description"
"Markitdown","https://avatars.githubusercontent.com/u/6154722?v=4","Convert various file formats (PDF, Word, Excel, images, audio) to Markdown."
"Context7","https://avatars.githubusercontent.com/u/74989412?v=4","Get up-to-date, version-specific documentation and code examples from any library or framework."
"GitHub","https://avatars.githubusercontent.com/u/9919?v=4","Official GitHub MCP Server that connects AI tools directly to GitHub's platform. Enables AI agents to read repositories, manage issues and PRs, analyze code, and automate workflows through natural language interactions."
"Playwright","https://avatars.githubusercontent.com/u/6154722?v=4","Automate web browsers using accessibility trees for testing and data extraction."
"Serena","https://avatars.githubusercontent.com/u/181485370?v=4","Semantic code retrieval & editing tools for coding agents."
"Chrome DevTools","https://avatars.githubusercontent.com/u/11260967?v=4","Lets your coding agent (such as Gemini, Claude, Cursor or Copilot) control and inspect a live Chrome browser."
"Firecrawl","https://avatars.githubusercontent.com/u/135057108?v=4","Extract web data with Firecrawl"
"Unity","https://avatars.githubusercontent.com/u/188132522?v=4","Control the Unity Editor from MCP clients via a Unity bridge + local Python server."
"Notion","https://avatars.githubusercontent.com/u/4792552?v=4","Official MCP server for Notion API"
"Azure MCP Server","https://avatars.githubusercontent.com/u/6154722?v=4","Production-ready MCP server connecting AI agents with 40+ Azure services including AI Foundry, AI Search, App Service, Storage, databases, and monitoring tools"
"Stripe","https://avatars.githubusercontent.com/u/856813?v=4","Interact with Stripe API"
"Microsoft Learn","https://avatars.githubusercontent.com/u/22479449?v=4","Enables clients like GitHub Copilot and other AI agents to bring trusted and up-to-date information directly from Microsoft's official documentation."
"Terraform","https://avatars.githubusercontent.com/u/761456?v=4","Seamlessly integrate with Terraform ecosystem, enabling advanced automation and interaction capabilities for Infrastructure as Code (IaC) development powered by Terraform"
"Azure DevOps","https://avatars.githubusercontent.com/u/6154722?v=4","Interact with Azure DevOps services like repositories, work items, builds, releases, test plans, and code search."
"Nuxt","https://avatars.githubusercontent.com/u/11247099?u=5c092d3773a443e480a294f2b67aa39395982f46&amp;v=4","MCP server helping models understand your Vite/Nuxt app."
"Mongodb","https://avatars.githubusercontent.com/u/11214950?v=4","A Model Context Protocol server to connect to MongoDB databases and MongoDB Atlas Clusters."
"Apify","https://avatars.githubusercontent.com/u/24586296?v=4","Extract data from any website with thousands of scrapers, crawlers, and automations on Apify Store ⚡"
"Elasticsearch","https://avatars.githubusercontent.com/u/6764390?v=4","MCP server for connecting to Elasticsearch data and indices. Supports search queries, mappings, ES|QL, and shard information through natural language interactions."
"Neon","https://avatars.githubusercontent.com/u/77690634?v=4","MCP server for interacting with Neon Management API and databases"
"Sentry","https://avatars.githubusercontent.com/u/1396951?v=4","Retrieve and analyze application errors and performance issues from Sentry projects."
"Chroma","https://avatars.githubusercontent.com/u/105881770?v=4","Provides data retrieval capabilities powered by Chroma, enabling AI models to create collections over generated data and user inputs, and retrieve that data using vector search, full text search, metadata filtering, and more."
"Monday.com","https://avatars.githubusercontent.com/u/61420283?v=4","Enable AI agents to work reliably - giving them secure access to structured data, tools to take action, and the context needed to make smart decisions."
"Imagesorcery","https://avatars.githubusercontent.com/u/211119887?v=4","Local image processing with computer vision capabilities including object detection, OCR, image editing, and transformations."
"Azure AI Foundry","https://avatars.githubusercontent.com/u/202016865?v=4","An experimental MCP server implementation for Azure AI Foundry that exposes unified tools for models, knowledge, evaluation and deployment."
"Todoist","https://avatars.githubusercontent.com/u/2565372?v=4","A set of tools to connect to AI agents, to allow them to use Todoist on a user's behalf."
"Dynatrace","https://avatars.githubusercontent.com/u/58178984?v=4","Manage and interact with the Dynatrace Platform for real-time observability and monitoring."
"Hugging Face","https://avatars.githubusercontent.com/u/25720743?v=4","Access Hugging Face models, datasets, Spaces, papers, collections via MCP."
"Logfire","https://avatars.githubusercontent.com/u/110818415?v=4","Provides access to OpenTelemetry traces and metrics through Logfire."
"Azure Kubernetes Service","https://avatars.githubusercontent.com/u/6844498?v=4","Interact with Azure Kubernetes Service (AKS) from MCP clients."
"Postman","https://avatars.githubusercontent.com/u/10251060?v=4","Postman's MCP server connects AI agents, assistants, and chatbots directly to your APIs on Postman. Use natural language to prompt AI to automate work across your Postman collections, environments, workspaces, and more."
"Octopus Deploy","https://avatars.githubusercontent.com/u/1287123?v=4","Deliver software to Kubernetes, multi-cloud, on-prem infrastructure, and anywhere else"
"Atlassian","https://avatars.githubusercontent.com/u/168166?v=4","Remote MCP Server that securely connects Jira and Confluence with your LLM, IDE, or agent platform of choice."
"Webflow","https://avatars.githubusercontent.com/u/1229663?v=4","Enable AI agents to interact with Webflow APIs."
"Fabric Real-Time Intelligence","https://avatars.githubusercontent.com/u/6154722?v=4","Query Eventhouse/ADX with KQL and manage Eventstreams."
"Codacy","https://avatars.githubusercontent.com/u/1834093?v=4","MCP Server for the Codacy API, enabling access to repositories, files, quality, coverage, security and more."
"Clarity","https://avatars.githubusercontent.com/u/6154722?v=4","Fetch Clarity analytics via MCP clients."
"DeepWiki","https://avatars.githubusercontent.com/u/163493330?v=4","Devin-generated docs for any public repo"
"Figma","https://avatars.githubusercontent.com/u/5155369?v=4","Bring in Figma context to generate better code, and turn ideas into production apps."
"Amplitude","https://avatars.githubusercontent.com/u/2291562?v=4","Search, access, and get insights on your Amplitude data"
"PagerDuty","https://avatars.githubusercontent.com/u/766800?v=4","PagerDuty's official MCP server which provides tools to interact with your PagerDuty account."
"Launchdarkly","https://avatars.githubusercontent.com/u/8039656?v=4","Official LaunchDarkly MCP Server for feature flag management and experimentation. Enables AI agents to interact with LaunchDarkly APIs for managing feature flags, AI configs, targeting rules, and gradual rollouts across multiple environments."
"GoReleaser","https://avatars.githubusercontent.com/u/24697112?v=4","GoReleaser MCP server for build automation"
"Dev Box","https://avatars.githubusercontent.com/u/6154722?v=4","This server enables natural language interactions for developer-focused operations like managing Dev Boxes, configurations, and pools."
"Axiom","https://avatars.githubusercontent.com/u/21122348?v=4","List datasets, schemas, run APL queries, and use prompts for exploration, anomalies, and monitoring."
"Zapier","https://avatars.githubusercontent.com/u/1261889?v=4","Zapier MCP is a remote MCP server that gives your AI direct access to 8,000+ apps and 30,000+ actions—no complex API integrations required."
"Intercom","https://avatars.githubusercontent.com/u/6585?v=4","Enable AI agents to securely access and interact with your Intercom data whenever helpful."
"JFrog","https://avatars.githubusercontent.com/u/499942?v=4","JFrog MCP Server: providing your agents with direct access to JFrog Platform services."
"StackHawk","https://avatars.githubusercontent.com/u/53230463?v=4","An MCP server that provides interaction with StackHawk's security scanning platform."
"Brave Search","https://avatars.githubusercontent.com/u/100005556?v=4","Search the web using Brave's privacy-focused search engine with AI-powered results."
"Fetch","https://avatars.githubusercontent.com/u/100005556?v=4","Fetch and retrieve content from web URLs, converting web pages to markdown for AI processing."
"Filesystem","https://avatars.githubusercontent.com/u/100005556?v=4","Read, write, and manage files on the local filesystem with controlled access permissions."
"Git","https://avatars.githubusercontent.com/u/100005556?v=4","Work with Git repositories including cloning, committing, branching, and viewing history."
"Google Drive","https://avatars.githubusercontent.com/u/1342004?v=4","Access, search, and manage files in Google Drive with full CRUD operations."
"Google Maps","https://avatars.githubusercontent.com/u/1342004?v=4","Search locations, get directions, and retrieve place details using Google Maps APIs."
"Memory","https://avatars.githubusercontent.com/u/100005556?v=4","Store and retrieve information across conversations to maintain context and state."
"PostgreSQL","https://avatars.githubusercontent.com/u/100005556?v=4","Connect to PostgreSQL databases and execute SQL queries with secure credential management."
"Puppeteer","https://avatars.githubusercontent.com/u/100005556?v=4","Automate Chrome browser for web scraping, testing, and interaction with dynamic content."
"Slack","https://avatars.githubusercontent.com/u/69631?v=4","Send messages, manage channels, and interact with Slack workspaces programmatically."
"SQLite","https://avatars.githubusercontent.com/u/100005556?v=4","Work with SQLite databases including queries, schema inspection, and data manipulation."
"Time","https://avatars.githubusercontent.com/u/100005556?v=4","Get current time, convert between timezones, and handle date/time operations."
"Weather","https://avatars.githubusercontent.com/u/100005556?v=4","Retrieve current weather conditions and forecasts for locations worldwide."
